config,sex,age,body_type,load_kg,motion,lumbar_bio_peak,lumbar_loaded_peak,shoulder_bio_peak,shoulder_total_peak,elbow_bio_peak,elbow_total_peak
no_suit,female,senior,slim,20,neutral_stoop_down_R_001__A078,117.97788678,117.97788678,35.700244444999996,35.700244444999996,51.609066855,51.609066855
no_suit,female,senior,slim,20,neutral_stoop_down_R_001__A080,123.38495759,123.38495759,42.30674816,42.30674816,52.522651460000006,52.522651460000006
no_suit,female,senior,slim,20,neutral_stoop_down_R_001__A081,119.26528635,119.26528635,35.646355084999996,35.646355084999996,51.34976310500001,51.34976310500001
no_suit,female,senior,slim,20,neutral_stoop_down_R_002__A082,110.38715775,110.38715775,40.779782835,40.779782835,52.53775058000001,52.53775058000001
no_suit,female,senior,slim,30,neutral_stoop_down_R_002__A073,218.35629854,218.35629854,57.82976679000001,57.82976679000001,77.20451807,77.20451807
no_suit,female,senior,slim,30,neutral_stoop_down_R_002__A079,130.3749,130.3749,55.06130627500001,55.06130627500001,76.763542735,76.763542735
no_suit,female,senior,slim,30,neutral_stoop_down_R_002__A074,172.15968171,172.15968171,54.172905735,54.172905735,76.90500631500001,76.90500631500001
no_suit,female,senior,slim,30,neutral_stoop_down_R_002__A075,200.65382085,200.65382085,51.2921957,51.2921957,75.908059845,75.908059845
no_suit,female,senior,slim,30,neutral_stoop_down_R_002__A076,190.71537473,190.71537473,55.341010170000004,55.341010170000004,77.380340745,77.380340745
no_suit,female,senior,slim,30,neutral_stoop_down_R_001__A077,209.82632518,209.82632518,65.607134755,65.607134755,81.241059675,81.241059675
no_suit,female,senior,slim,30,neutral_stoop_down_R_001__A078,161.43618677999999,161.43618677999999,50.415244445,50.415244445,76.134066855,76.134066855
no_suit,female,senior,slim,30,neutral_stoop_down_R_001__A080,166.84325759,166.84325759,57.02174816,57.02174816,77.04765146,77.04765146
no_suit,female,senior,slim,30,neutral_stoop_down_R_001__A081,162.72358635,162.72358635,50.361355085,50.361355085,75.874763105,75.874763105
no_suit,female,senior,slim,30,neutral_stoop_down_R_002__A082,153.84545775,153.84545775,55.494782835,55.494782835,77.06275058,77.06275058
no_suit,female,senior,avg,10,neutral_stoop_down_R_002__A073,137.70139292,137.70139292,30.53428641,30.53428641,28.705395855000003,28.705395855000003
no_suit,female,senior,avg,10,neutral_stoop_down_R_002__A079,43.4583,43.4583,27.310461150000002,27.310461150000002,28.18916674,28.18916674
no_suit,female,senior,avg,10,neutral_stoop_down_R_002__A074,89.18762404,89.18762404,26.276215655,26.276215655,28.362731615,28.362731615
no_suit,female,senior,avg,10,neutral_stoop_down_R_002__A075,116.20644507,116.20644507,22.938004495,22.938004495,27.227349285000003,27.227349285000003
no_suit,female,senior,avg,10,neutral_stoop_down_R_002__A076,108.67042254,108.67042254,27.616937874999998,27.616937874999998,28.916017095,28.916017095
no_suit,female,senior,avg,10,neutral_stoop_down_R_001__A077,129.66703725,129.66703725,39.433973475,39.433973475,33.358542310000004,33.358542310000004
no_suit,female,senior,avg,10,neutral_stoop_down_R_001__A078,75.77283302000001,75.77283302000001,21.958412285,21.958412285,27.473638715000003,27.473638715000003
no_suit,female,senior,avg,10,neutral_stoop_down_R_001__A080,81.40436309,81.40436309,29.533398105,29.533398105,28.509685870000002,28.509685870000002
no_suit,female,senior,avg,10,neutral_stoop_down_R_001__A081,74.06115599,74.06115599,21.881799635,21.881799635,27.168497225000003,27.168497225000003
no_suit,female,senior,avg,10,neutral_stoop_down_R_002__A082,74.36520887,74.36520887,27.766143290000002,27.766143290000002,28.545322365000004,28.545322365000004
no_suit,female,senior,avg,20,neutral_stoop_down_R_002__A073,181.15969292,181.15969292,45.249286409999996,45.249286409999996,53.230395855000005,53.230395855000005
no_suit,female,senior,avg,20,neutral_stoop_down_R_002__A079,86.9166,86.9166,42.02546115,42.02546115,52.71416674,52.71416674
no_suit,female,senior,avg,20,neutral_stoop_down_R_002__A074,132.64592404,132.64592404,40.991215655000005,40.991215655000005,52.88773161500001,52.88773161500001
no_suit,female,senior,avg,20,neutral_stoop_down_R_002__A075,159.66474507,159.66474507,37.653004495,37.653004495,51.75234928500001,51.75234928500001
